Name,Desc,PlantType,BloomsIn,Height,SoilNeeds,SunNeeds,WaterNeeds,Maintenance,Type de Sol
Faux jasmin (Trachelospermum jasminoides),"Le Faux jasmin, aussi appelé Jasmin étoilé, est une plante grimpante au feuillage persistant et aux fleurs blanches parfumées. Il prospère sous une exposition en plein soleil ou à mi-ombre et préfère un sol bien drainé. Il nécessite un arrosage modéré, avec une tolérance à la sécheresse une fois bien établi. Son entretien est simple : une taille légère après la floraison permet de contrôler sa croissance et de favoriser une floraison abondante. Résistant au froid modéré, il peut être cultivé en pleine terre dans les climats doux ou en pot pour être protégé en hiver.","Climbers, Shrubs","Spring,Summer","50 cm, 600 cm",pH between 5.5 to 6.5,"Full sun, Partial sun",Low to Average,Low,"Limon, Sable"
Agapanthus (African Lily; Lily of the Nile),"L'Agapanthus est un genre composé d'une dizaine d'espèces de plantes vivaces de la famille des Amaryllidaceae, originaire d'Afrique australe. La plante présente des grappes rondes de fleurs en forme d'entonnoir, aux couleurs vives et voyantes, sur une tige haute et mince. Certaines espèces ont un feuillage épais en forme de lanière, tandis que d'autres ont des feuilles en forme d'herbe. L'agapanthe est également connue sous le nom de lis africain ou de lis du Nil. On l'appelle aussi la fleur de l'amour","Bulbs, Perennials","Autumn, Summer","Agapanthus range in height from just 20 cm (8 inches) up to 1,8 m (6 ft) for larger varieties.","Agapanthus grows best in fertile, moist and well-drained soil. The pH of the soil is not so important. It can grow in acid, neutral, and alkaline soils.","Full sun, Partial sun",avarage,low,Sable
Allium (Ornamental Onion),"Allium est un genre de plus de 800 espèces de plantes vivaces bulbeuses de la famille des Amaryllidaceae, originaires de l'hémisphère nord, mais cultivées dans le monde entier. Ces plantes se déclinent en une large palette de couleurs, de formes et de tailles. La plupart des Alliums ont des grappes de fleurs en forme de globe dans des tons de violet, de rose, de bleu, de blanc et de jaune. Les Alliums les plus courants sont des plantes comestibles, mais ils sont également très utiles dans de nombreux contextes ornementaux.","Bulbs, Perennials","Spring, Summer",Alliums range in size from 15 cm (6 inches) to 180 cm (6 ft) giants.,"Alliums are not fussy about their soil, so long as it is well drained.",Full sun,avarage,low,Sable
Alstroemeria (Peruvian lily; Lily of the Incas),"L'Alstroemeria, également connu sous le nom de Lys du Pérou, est un genre d'environ 60 espèces de plantes vivaces de la famille des Alstroemeriaceae, originaire d'Amérique du Sud. Cette beauté tropicale possède de longues tiges portant de jolies fleurs en forme de trompette dans une large gamme de couleurs. La fleur est composée de 3 pétales et de 3 sépales, de couleur et de texture similaires, donnant l'apparence d'une fleur à six pétales.","Bulbs, Perennials","Autumn, Summer",The species range from dwarf species (20 cm or 8 inches tall) to the larger varieties that grow up to 120 cm or 4 ft in height.,"The plant grows best in fertile, moist and well drained soil which is neutral or slightly acidic.","Full sun, Partial sun",avarage,low,Sable
Amaryllis (Amaryllis),"L'amaryllis est un genre composé de deux espèces de bulbes à fleurs : l'amaryllis belladonna et l'amaryllis paradisicola. Ces deux espèces appartiennent à la famille des Amaryllidaceae et sont originaires d'Afrique du Sud. Elles produisent des fleurs parfumées en forme de trompette au sommet de hautes tiges. Ces plantes attirent les papillons, les oiseaux et les abeilles et sont très appréciées en tant que fleurs coupées.","Bulbs, Perennials","Autumn, Summer",Amaryllis has stem that can reach 30 - 90 cm (1-3 ft) in height and each flower is 6-11 cm (2-4 inches) in diameter.,Amaryllis grows best in well drained and slightly acidic soil.,"Full sun, Partial sun",avarage,low,Sable
Asclepias (Milkweed),"Asclepias, également connu sous le nom d'asclépiade, est un genre d'environ 200 espèces de plantes herbacées vivaces de la famille des Apocynaceae, originaires des Amériques. Les asclépiades produisent des fleurs en forme d'étoile qui apparaissent en grappes sur de hautes tiges ligneuses. Ces plantes vivaces sont connues pour leurs fleurs odorantes et le liquide blanc laiteux contenu dans leur feuillage. Elles attirent les papillons, les abeilles et d'autres insectes.",Perennials,"Autumn, Summer",The plant reaches heights of 30 cm (1 ft) to 180 cm (6 ft).,"Asclepias thrive best in well-drained soil, with a pH range of 5.0 to 7.0.",Full sun,avarage,low,Sable
Banksia (Australian Honeysuckle),"Le Banksia est un genre d'environ 100 espèces de la famille des Proteaceae, originaire de l'hémisphère sud. La plupart sont des arbustes, mais certains sont des arbres robustes, au feuillage varié et aux grandes fleurs complexes. Les Banksias sont connus pour leurs épis de fleurs caractéristiques, souvent de grande taille et en forme de cône. Le capitule est composé de centaines, voire de milliers de petites fleurs individuelles attachées à un axe central. Les fleurs sont souvent parfumées au miel et riches en nectar. Il ne fait aucun doute que les Banksias sont appréciés en tant que source de nourriture importante pour un certain nombre d'animaux. Ils sont très attractifs pour les pollinisateurs et les oiseaux les adorent !","Perennials, Shrubs, Trees","Spring, Autumn, Winter, Summer","Banksias range from 25 cm (1 ft) to 30 metres (100 feet) in height, depending on the species.","These plants will grow in most soil types if given good drainage. However, they will perform best in sandy soils with a pH between 5.5 and 7.0.","Full sun, Partial sun",avarage,low,Sable
Bougainvillea (Bougainvillea),"Le bougainvillier est un genre d'environ 15 espèces d'arbustes, de vignes et de petits arbres de la famille des Nyctaginaceae, originaire d'Amérique du Sud. Ce que l'on peut voir comme des « fleurs » colorées en papier sont en fait des feuilles modifiées appelées bractées. Les fleurs blanches et minuscules sont entourées de ces grandes bractées aux couleurs vives. Le bougainvillier est une plante de jardin populaire en raison de ses bractées colorées et de sa polyvalence dans le jardin.","Climbers, Shrubs, Trees","Spring, Autumn, Winter, Summer",Bougainvillea can grow from 60 cm to 12 metres (2 to 40 ft) tall.,"Bougainvillea prefers moist, well drained and slightly acidic soil with a pH of 5.5 to 6.5.",Full sun,low,low,Sable
Calluna (Heather; Common Heather; Scottish Heather),"La calluna, également connue sous le nom de bruyère, est un genre de la famille des Ericaceae. La seule espèce de ce genre est Calluna vulgaris, un arbuste à fleurs à feuilles persistantes avec des centaines de fleurs vibrantes en forme de clochettes qui fleurissent à la fin de l'été. Calluna vulgaris est originaire d'Europe, d'Afrique du Nord et d'Asie tempérée. Bien qu'elle soit le plus souvent associée aux hautes terres rocheuses d'Écosse, où elle pousse depuis des siècles, la calluna est largement répandue dans le monde entier et pousse sur presque tous les continents.",Shrubs,Summer,This plant grows between 30 to 60 cm (1-2 ft) tall.,"Calluna grows best in acidic, moist and well drained soil.",Full sun,avarage,low,Sable
Cistus (Rock Rose),"Le Cistus, communément appelé Rock Rose, est un genre d'environ 50 espèces d'arbustes à feuilles persistantes de la famille des Cistaceae, principalement originaires de la région méditerranéenne. Les rosiers produisent des feuilles simples et opposées et des fleurs en forme de bol à cinq pétales qui s'épanouissent dans des tons de blanc, de rose et de violet. Ils sont considérés comme des plantes nécessitant peu d'entretien car ils sont tolérants à la sécheresse et résistent très bien lorsqu'ils ne sont pas arrosés régulièrement. Elles prospèrent dans des conditions sèches tout en apportant de la texture et de la couleur à votre jardin pendant les mois de printemps et d'été.","Perennials, Shrubs","Spring, Summer","Rock Rose can grow up to 4 m (13 ft) in height, depending on species. Cistus ladanifer, also known as Gum Cistus, can reach a height of 4 m (13 ft), but is more commonly 1 to 2 m (3 to 6 ft) tall.",Cistus will grow in almost any soil that is well-drained and will tolerate a wide pH range. The plant is drought tolerant and thrives in poor and moderately fertile soil.,Full sun,low,low,Sable
Crocus (Crocus),"Le crocus est un genre d'environ 90 espèces de plantes vivaces de la famille des Iridaceae, originaires d'Asie, d'Afrique du Nord, d'Europe méditerranéenne et des Alpes. La plupart des espèces sont abondantes à l'état sauvage, depuis les montagnes rocheuses et les prairies alpines jusqu'aux forêts et aux garrigues. Les fleurs sont en forme de coupe et se composent principalement de six pétales. Elles présentent une grande variété de couleurs et sont souvent les premières à fleurir à la fin de l'hiver ou au début du printemps. L'arrivée du printemps est souvent marquée par les couleurs vives des crocus.",Bulbs,"Spring, Autumn, Winter",Crocus can reach between 20 cm (8 inches) and 30 cm (12 inches) in height.,"Although Crocus is tolerant of a wide range of soils, it will grow best in a well drained soil, with a pH between 6.0 and 8.0.","Full sun, Partial sun",avarage,low,Sable
Delosperma (Ice Plant),"Delosperma, également connu sous le nom de plante de glace, est un genre d'environ 150 espèces de la famille des Aizoaceae, originaire du sud et de l'est de l'Afrique. Le Delosperma est une petite plante succulente qui fleurit de la fin du printemps à l'automne. Elle produit un feuillage attrayant et des fleurs colorées ressemblant à des marguerites. Ces plantes couvre-sol sont excellentes pour les rocailles et les conteneurs.","Cactus - Succulents, Perennials","Spring, Autumn, Summer",The plant grows up to 15 cm (6 inches) in height.,"Delosperma likes dry, sandy and poor soils with good drainage. It prefers soils with a pH level between 6.0 and 8.0.",Full sun,low,low,Sable
Dryas (Mountain Avens; Holtasoley),"Dryas est un petit genre de 6 espèces de plantes à fleurs de la famille des rosacées, dont le nom commun est dryade à feuilles caduques. Les espèces sont originaires des régions alpines et arctiques d'Europe, d'Amérique du Nord et d'Asie. Cependant, ces plantes vivaces rampantes poussent presque partout et peuvent être trouvées aussi loin au nord qu'il y a de terre ! Cette charmante petite plante a des fleurs en forme de soucoupe avec huit à dix pétales sur des tiges nues. Dryas est idéale pour les rocailles ou pour planter dans les fissures entre les pavés ou les murs.","Perennials, Shrubs","Spring, Summer","Dryas is a small plant, growing only 20 cm (8 inches) in height.","The plant can grow in many different soil types and pH levels, but requires good drainage.","Full sun, Partial sun",avarage,medium,Sable
Echeveria (Hen and Chicks),"Echeveria est un genre de plantes succulentes de la famille des Crassulaceae, originaire d'Amérique centrale. Il comprend plus d'une centaine d'espèces de plantes succulentes. L'Echeveria est surtout populaire en raison de ses jolies rosettes de feuilles charnues et aux couleurs vives. Lorsqu'elle fleurit, elle produit de belles fleurs en forme de cloche sur une haute tige arquée.",Cactus - Succulents,"Spring, Autumn, Winter, Summer",The species can grow from 10 cm to 60 cm (4 inches to 2 ft) high.,"Echeverias grow best in well drained soil, with a slightly acidic pH.","Full sun, Partial sun",low,low,Sable
Epiphyllum (Orchid Cactus),"Epiphyllum est un genre d'environ 15 espèces de plantes épiphytes de la famille des Cactacées, originaires d'Amérique tropicale et subtropicale. Les fleurs sont impressionnantes par leur taille, leur couleur et leur parfum. Comme tous les cactus, les Epiphyllums ont des tiges, mais pas de feuilles. Ils sont souvent cultivés dans des paniers suspendus pour accueillir leurs tiges en forme de feuille, mais peuvent également être cultivés dans des conteneurs. Dans la nature, Epiphyllum pousse entre les branches des arbres et dans les crevasses des rochers. Le genre comprend l'une des fleurs les plus chères au monde : Epiphyllum oxypetalum, également connue sous le nom de Kadupul ou Reine de la nuit.",Cactus - Succulents,"Spring, Summer",Epiphyllum can reach 10 m (30 ft) in height.,"Epiphyllum prefers rich and well drained soil. For majority of plants, the ideal soil pH is slightly acidic with a pH range of 5.5 to 6.5.","Full sun, Partial sun",avarage,medium,Sable
Eremurus (Foxtail Lily; Desert Candle),"Eremurus, communément appelé lys queue de renard, est un genre d'environ 50 espèces de plantes vivaces caduques de la famille des Asphodelaceae, originaires d'Europe et d'Asie tempérée. Les lys queue de renard fleurissent du printemps au milieu de l'été, produisant des grappes denses de petites fleurs en forme d'étoile sur de hautes tiges dressées. Leurs grappes spectaculaires, riches, hautes et fines en font l'une des plantes bulbeuses les plus attrayantes qui ajouteront de la hauteur et de l'intérêt aux bordures.",Perennials,"Spring, Summer","Foxtail Lilies are tall plants that reach 2,5 metres (8ft) or less in height, depending on the species.","Eremurus prefers well drained soil that is acid, alkaline or neutral.",Full sun,avarage,low,Sable
Eryngium (Sea Holly),"Eryngium, également connu sous le nom de chardon de mer, est un genre d'environ 250 espèces de la famille des Apiacées, principalement originaires d'Europe et de la Méditerranée. La plupart des espèces sont vivaces, mais certaines sont annuelles. Le chardon de mer produit des capitules voyants et attrayants ressemblant à des chardons entourés de bractées épineuses bleu argenté sur des tiges solides. Ces plantes qui aiment le soleil fleuriront en été et attireront les papillons et les abeilles dans votre jardin.","Annuals, Perennials","Autumn, Summer","They can range from 30 cm (1 ft) to 150 cm (5 ft) tall, depending on the species.","These plants need good drainage and plenty of sun. They are not particular about soil pH and will tolerate poor and sandy soils. The plant has a long taproot, which makes it drought tolerant.",Full sun,low,low,Sable
Eschscholzia (Golden Poppy),"Eschscholzia est un genre qui regroupe 12 espèces annuelles et vivaces de la famille des Papavéracées, originaires des États-Unis et du Mexique. La plupart des espèces possèdent des feuilles basales et des fleurs en forme d’entonnoir, composées de quatre pétales jaunes ou orange qui poussent à l’extrémité de la tige. Elles sont à la fois belles, résistantes à la sécheresse et faciles à entretenir.","Annuals, Perennials","Spring, Autumn, Winter, Summer","The plants grow up to 30 cm (1 ft) tall, but some species have been known to grow taller.","In general, these plants grow in a range of soils, but prefer loamy or clay soils. They thrive in well-drained, poor soils with relatively little organic matter, preferring neutral to slightly alkaline soils.",Full sun,low,low,Sable
Euphorbia (Spurge),"L’Euphorbia, communément appelée « Euphorbe », est un vaste genre comprenant plus de 2000 espèces appartenant à la famille des Euphorbiacées, présentes sur tous les continents à l’exception de l’Antarctique. Ce genre est très diversifié et inclut des espèces aux caractéristiques très variées. Il englobe des plantes herbacées annuelles et vivaces, ainsi que des arbustes et des arbres pouvant atteindre 20 mètres de hauteur, dont beaucoup sont succulentes et très résistantes à la sécheresse. Les euphorbes sont prisées pour leurs structures florales uniques : un feuillage attrayant et richement coloré, ainsi que des fleurs inhabituelles regroupées en une inflorescence appelée « cyathium ».","Annuals, Cactus - Succulents, Perennials, Shrubs, Trees","Spring, Autumn, Winter, Summer",The species range in size from 30 cm to 20 metres (1 ft to 66 ft) tall.,"Euphorbia prefers well drained soil. Even though they are not particular about soil pH, they grow easiest with a soil pH from 6.0 to 7.0.","Full sun, Partial sun",low,low,Sable
Freesia (Freesias),"Freesia est un genre qui compte environ 20 espèces de plantes herbacées vivaces de la famille des Iridacées, originaires d’Afrique. Leurs fleurs parfumées et en forme de cloche apparaissent d’un seul côté d’une tige de 30 à 40 cm de hauteur, appelée scape. Grâce à leur parfum, les freesias figurent parmi les fleurs les plus populaires au monde et sont généralement cultivées pour être utilisées en fleurs coupées.","Bulbs, Perennials","Spring, Autumn, Summer",Freesia can grow up to 40 cm (1 ft) tall.,This plant likes moist and well drained soil.,"Full sun, Partial sun",avarage,low,Sable
Gaillardia (Blanket Flower),"Gaillardia est un genre d’environ 25 espèces, principalement vivaces, de la famille des Astéracées, originaires des Amériques. Les gaillardes produisent de magnifiques fleurs de type « marguerite », aux couleurs intenses. Chaque fleur se compose d’un disque central de fleurons entourés de fleurons ligulés plus colorés et plus visibles. Les ligules sont généralement plates, mais on trouve aussi des formes tubulaires ou en trompette. Les gaillardes sont appréciées pour leur très longue période de floraison. Elles sont résistantes à la sécheresse et faciles à entretenir. Ces fleurs qui adorent le soleil fleurissent en continu tout au long de l’été et de l’automne, apportant couleur et gaieté à votre jardin.","Annuals, Perennials","Autumn, Summer",Plants belonging to the Gaillardia genus range in height from 15 cm (6 inches) to 90 cm (3 ft).,"These plants grow best in moist and well drained soil, with a pH between 5.5 and 7.0. However, they will tolerate drought, heat, poor and sandy soils, but heavy clay soil will probably kill them.",Full sun,low,low,Sable
Gazania (Treasure Flower),"Gazania est un genre qui comprend environ 20 espèces de la famille des Astéracées, originaires d’Afrique australe. Les jardiniers les adorent pour leurs grandes fleurs de type « marguerite » aux motifs uniques et aux multiples coloris. Comme chez tous les membres de la famille des Astéracées, les « fleurs » sont en réalité des capitules composés de fleurons tubulés au centre. Dans les climats plus froids, ces plantes sont considérées comme annuelles, tandis que dans les climats plus chauds, elles sont des vivaces de courte durée. Elles sont éclatantes, résistantes à la sécheresse et faciles à entretenir. C’est toujours un vrai plaisir de les voir fleurir.","Annuals, Perennials","Spring, Autumn, Winter",The plant grows up to 30 cm (1 ft) high.,"Gazania will grow best in well-drained soil in full sun, with a pH level between 5.5 and 7.0.",Full sun,low,low,Sable
Grevillea (Spider Flower; Silky Oak),"Grevillea est un genre d’environ 350 espèces de plantes à fleurs de la famille des Protéacées, principalement originaires d’Australie. Elles sont appréciées pour leurs fleurs aux formes exotiques, vives en couleur et riches en nectar. Les inflorescences, composées de nombreuses petites fleurs, s’ouvrent de manière échelonnée et peuvent fleurir presque toute l’année. Les grevilleas sont des arbustes ou arbres persistants et très décoratifs.","Shrubs, Trees","Spring, Autumn, Winter, Summer",The species range from small shrubs around 50 cm (20 inches) high to large trees up to 35 metres (115 ft) tall.,"Grevillea grows in all types of soil, but prefers well-drained soil.","Full sun, Partial sun",low,low,Sable
Gypsophila (Baby's Breath),"Gypsophila est un genre de la famille des Caryophyllacées, qui compte environ 100 espèces annuelles et vivaces originaires d’Eurasie, d’Afrique et d’Australie. Ces plantes ont des feuilles lancéolées et de petites fleurs blanches ou roses, portées sur de longues tiges. Très utilisées en décoration florale et en bouquets pour leur aspect léger et vaporeux.","Annuals, Perennials","Spring, Summer",Gypsophila range in size from 15 cm (6 inches) to 1 m (30 ft) tall.,"Gypsophila tolerates any kind of soil, but good drainage is essential.  Some species prefer calcium-rich, alkaline soils.",Full sun,low,low,Sable
Jacaranda (Jacaranda),"Jacaranda est un genre d’environ 50 espèces d’arbustes et d’arbres de la famille des Bignoniacées, originaires d’Amérique centrale et d’Amérique du Sud. Les feuilles sont délicatement découpées, de couleur vert foncé, et les fleurs, en grappes denses, sont bleu-violet en forme de trompette. Les jacarandas peuvent atteindre 10 m de haut et sont très prisés comme arbres d’ornement.","Shrubs, Trees","Spring, Summer","These plants grow between 1 and 10 metres (3-32 ft) tall, depending on species.","Although Jacaranda tolerates a wide variety of soils, it grows best in sandy soil, with a slightly acidic pH range.","Full sun, Partial sun",avarage,low,Sable
Jasione (Jasione),"Jasione est un genre d’une quinzaine d’espèces de la famille des Campanulacées, originaires d’Europe et du Moyen-Orient. Les fleurs forment de petites têtes sphériques rappelant un coussin (pincushion), souvent bleues ou violettes, soutenues par des bractées involucrales. Elles sont appréciées en fleurs coupées et en rocailles.","Annuals, Perennials","Spring, Autumn, Summer",Jasione can grow up to 50 cm (2 ft) in height.,This plant needs well drained soil. It is not fussy about soil pH,"Full sun, Partial sun",avarage,low,Sable
Kalanchoe (Kalanchoe),"Kalanchoe est un genre de la famille des Crassulacées qui compte environ 125 espèces de plantes succulentes, principalement originaires de Madagascar. Elles sont connues pour leurs feuilles épaisses et charnues, ainsi que leurs floraisons colorées et durables, dans une gamme de formes et de teintes variées. Faciles à entretenir, elles sont très répandues en plante d’intérieur.","Cactus - Succulents, Perennials, Shrubs","Spring, Autumn, Winter, Summer","Most species are less than 1 m (3 ft), with the exception of Kalanchoe beharensis from Madagascar which can reach the height of 6 m (20 ft).","These plants do best in well drained soil, with a pH level between 5.0 and 6.5.","Full sun, Partial sun",low,low,Sable
Kunzea (Kunzea),"Kunzea est un genre d’environ 40 espèces d’arbustes et de petits arbres de la famille des Myrtacées, originaires d’Australie et de Nouvelle-Zélande. Les fleurs, riches en nectar, sont groupées en inflorescences et possèdent cinq pétales, cinq sépales et de nombreuses étamines, attirant les oiseaux et insectes nectarivores.","Shrubs, Trees","Autumn, Winter, Summer",They range in size from small ground covers to 10 metre (32 ft) trees.,"Kunzeas prefer moist and well drained soil, but will grow in a variety of soils with a pH range of 6.0 to 8.0.","Full sun, Partial sun",avarage,low,Sable
Lavandula (Lavender),"Lavandula, la Lavande, est un genre d’environ 50 espèces de la famille des Lamiacées, originaire du bassin méditerranéen. Ces plantes présentent un feuillage gris-vert aromatique et des épis floraux bleus ou violets sur de longues tiges. Connues pour leur parfum caractéristique, elles attirent de nombreux pollinisateurs et sont réputées pour leurs propriétés médicinales et aromatiques.","Herbs, Perennials, Shrubs","Spring, Autumn, Summer",Lavender grows from 30 to 90 cm (1 to 3 ft) tall.,This plant will do best in well drained soil that is neutral to slightly alkaline. The ideal pH level is somewhere between 6.5 and 7.5.,Full sun,low,medium,Sable
Leontopodium (Edelweiss),"Leontopodium est un genre d’environ 40 espèces de vivaces de la famille des Astéracées, originaires d’Europe et d’Asie, poussant souvent en altitude sur sols calcaires. Les fleurs, jaunes et discrètes, sont entourées de bractées blanches formant une étoile, comme chez l’Edelweiss (Leontopodium alpinum). Elles fleurissent du printemps à l’automne.",Perennials,"Spring, Autumn, Summer",The plant reaches about 30 cm (1 ft) in height.,Leontopodium needs good drainage and pH between 6.5 and 7.5 (slightly alkaline to medium acidity).,"Full sun, Partial sun",avarage,low,Sable
Lewisia (Lewisia),"Lewisia est un genre d’environ 20 espèces de la famille des Montiacées, toutes originaires de l’Ouest de l’Amérique du Nord. Ces plantes basses et charnues produisent des rosettes de feuilles épaisses et de grandes fleurs colorées, souvent en forme de coupe, au printemps et en été. Lewisia cotyledon (Cliff Maid) et Lewisia rediviva (Bitterroot) sont les plus connues.",Perennials,"Spring, Autumn, Summer","Lewisia is a small plant, growing up to 30 cm (1 ft) in height.","Lewisia prefers moderately fertile and well drained soil, with a ph value between 5.0 and 8.0. It is drought tolerant and thrives in poor and dry soils.","Full sun, Partial sun",low,low,Sable
Limonium (Sea Lavender; Statice),"Limonium, ou Lavande de mer, est un genre d’environ 120 espèces de la famille des Plombaginacées, originaire du bassin méditerranéen et d’Asie centrale. Ces plantes portent des panicules de petites fleurs colorées, souvent bleues, violettes, roses ou blanches, sur des tiges rigides. Elles sont très utilisées en fleurs coupées fraîches ou séchées.","Annuals, Perennials, Shrubs","Spring, Summer",The plant grows up to 90 cm (3 ft) in height.,Limonium prefers rich and well-drained soil in full sun. It is not particular as to soil pH.,Full sun,low,low,Sable
Mimosa (Mimosa),"Mimosa est un grand genre d’environ 400 espèces de la famille des Fabacées, répandues dans les régions tropicales et subtropicales du monde. Les fleurs se regroupent en glomérules sphériques et duveteux, composées de nombreuses étamines qui leur donnent un aspect pompon. Certaines espèces sont des arbustes ou des arbres très ornementaux.","Annuals, Perennials, Shrubs, Trees",Summer,They can be found in various sizes and some (Mimosa pigra) may grow as large as 6 m (20 ft) tall.,Mimosa grows best in moist and well-drained loamy soil. The ideal soil pH is between 5.0 and 7.0.,"Full sun, Partial sun",avarage,medium,Sable
Nerine (Guernsey Lily),"Nerine est un genre d’environ 25 espèces de vivaces bulbeuses de la famille des Amaryllidacées, originaires d’Afrique du Sud. Elles produisent des fleurs en trompette, aux pétales ondulés, dans des tons roses, rouges ou blancs, de la fin de l’été à l’automne. Très décoratives, elles sont idéales en massifs, rocailles, bordures et pots.","Bulbs, Perennials","Autumn, Summer",Nerine reaches 60 cm (2 ft) in height.,Nerine likes moist and well drained soil. It is not particular as to soil type or pH.,"Full sun, Partial sun",avarage,medium,Sable
Obregonia (Artichoke Cactus),"Obregonia est un genre à espèce unique : Obregonia denegrii, un cactus rare de la famille des Cactacées, originaire du nord-est du Mexique. Son corps solitaire est formé de tubercules triangulaires disposés en rosette, évoquant une pomme de pin. Les fleurs en entonnoir, blanches ou légèrement rosées, apparaissent au sommet. C’est un cactus très recherché par les collectionneurs.",Cactus - Succulents,Summer,"Obregonia is a small-sized plant, about 15 cm (6 inches) in height.",Obregonia performs best in well-drained soil with little organic material and neutral pH.,"Full sun, Partial sun",low,medium,Sable
Opuntia (Prickly Pear),"Opuntia est un genre d’environ 200 espèces de cactus de la famille des Cactacées, réparties du Canada à l’Argentine. Les « raquettes » (cladodes) sont en réalité des tiges plates, munies d’aréoles portant des épines ou glochides. Les fleurs, généralement jaunes, peuvent aussi être roses, oranges ou rouges selon l’espèce. Les opuntias sont très décoratifs et faciles à cultiver.",Cactus - Succulents,"Spring, Summer","Opuntias vary in height from 20 cm (8 inches) to giants that grow up to 4,5 metres (15 ft) in height.","Opuntia needs well-drained soil that is acid, alkaline or neutral.","Full sun, Partial sun",low,low,Sable
Osteospermum (African Daisy),"Osteospermum est un genre d’environ 50 espèces annuelles, vivaces et sous-arbrisseaux de la famille des Astéracées, originaires d’Afrique australe. Les fleurs en capitules évoquent des marguerites dans une variété de couleurs (blanc, rose, violet, jaune, orange). Certaines variétés ont des pétales en forme de cuillère. Très florifères et faciles d’entretien.","Annuals, Perennials, Shrubs","Spring, Autumn, Summer",Osteospermum reaches up to 60 cm (2 ft) in height.,These sun-loving plants prefer well-drained soil of average fertility. They do not appear to be fussy about soil pH.,Full sun,avarage,low,Sable
Perovskia (Perovskia),"Perovskia est un petit genre de la famille des Lamiacées, originaire d’Asie centrale et du sud-ouest. Il comprend une dizaine d’espèces de sous-arbrisseaux ou vivaces, dont la plus connue est Perovskia atriplicifolia (Sauge russe). Les tiges dressées portent un feuillage gris-vert aromatique et des épis de petites fleurs tubulaires bleues ou mauves. Faciles à cultiver, elles adorent le soleil.","Perennials, Shrubs","Autumn, Summer",Perovskia grows up to 150 cm (5 ft) tall.,"This plant does not need a rich soil to grow well, but good drainage is needed. Perovskia thrives in dry soil and requires little water once established. It tolerates a wide range of soil ph.",Full sun,low,low,Sable
Plumeria (Frangipani; Hawaiian Lei Flower),"Plumeria est un genre d’environ 300 espèces de plantes tropicales de la famille des Apocynacées, originaires d’Amérique centrale, du Mexique, d’Amérique du Sud et des Caraïbes. Les fleurs, grandes et parfumées, varient du blanc au rose, rouge, jaune ou multicolore, et apparaissent du printemps au début de l’automne. Très appréciées pour leur parfum et leur esthétique.","Shrubs, Trees","Spring, Autumn, Summer","Their sizes vary depending on the variety. Some species can grow up to 10 metres (32 ft) in height, but dwarf varieties are also available.","Plumeria prefers moist, but well drained soil that is slightly acidic.","Full sun, Partial sun",avarage,low,Sable
Protea (Protea),"Protea est un genre d’environ 50 espèces d’arbustes et d’arbres de la famille des Protéacées, originaires principalement d’Afrique australe. Les « fleurs » spectaculaires sont en fait des inflorescences formées de nombreuses petites fleurs tubulaires, entourées de bractées colorées. Exotiques et anciennes, les protéas sont très prisées en fleuristerie.","Shrubs, Trees","Spring, Autumn, Winter, Summer",Protea range in height from tiny shrubs to tall trees of 10 meters (33 ft).,"The majority of species prefer well drained, sandy and slightly acidic soil (pH 5.5 to 7.0).",Full sun,low,low,Sable
Saxifraga (Saxifrage; Rockfoil),"Saxifraga, ou Saxifrage, est un grand genre de plus de 400 espèces de plantes vivaces de la famille des Saxifragacées, répandues dans les régions tempérées, subarctiques et alpines. Les feuilles sont souvent en rosettes, et les petites fleurs, généralement à cinq pétales, se déclinent en blanc, rose, jaune ou rouge. Idéales en rocailles et murets.",Perennials,"Spring, Autumn, Winter, Summer",This plant usually reaches about 30 cm (1 ft) in height.,"Appropriate soil type depends on species. In general, these plants like moist and well-drained soil, with a pH level between 6.0 and 8.0.","Full sun, Partial sun, Shade",avarage,low,Sable
Sedum (Stonecrop),"Sedum est un grand genre d’environ 500 espèces de plantes succulentes de la famille des Crassulacées, principalement de l’hémisphère Nord. Elles possèdent des feuilles charnues et des fleurs étoilées de couleur blanche, jaune, rose ou rouge, regroupées en inflorescences serrées. Adaptées aux rocailles, toitures végétalisées et massifs secs.","Annuals, Cactus - Succulents, Perennials, Shrubs","Autumn, Summer","Sedums can grow from 10 to 90 cm (4 inches to 3 ft), depending on variety.","These plants prefer well drained soil that is neutral, alkaline or acidic. The ideal soil pH is between 6.0 and 8.0.","Full sun, Partial sun",low,low,Sable
Ulex (Gorse; Furze),"Ulex, ou Ajonc, est un genre d’environ 15 espèces d’arbustes épineux de la famille des Fabacées, originaires d’Europe de l’Ouest et d’Afrique du Nord-Ouest. Le feuillage est réduit à des épines vertes, et les fleurs papilionacées jaunes apparaissent presque toute l’année, dégageant un léger parfum de noix de coco.",Shrubs,"Spring, Autumn, Winter, Summer",The plant can grow up to 3 metres (10 ft) high.,"The plant grows in most soils, but does best in soil that is sandy and slightly acidic. It appreciates hot sun and dry, poor soil.",Full sun,low,low,Sable
